,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
0,D1_1,-,0,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.5504919726273 50.0081825474471,14.550627280044717 50.00816052428692)"
1,D1_1,-,1,1,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.550627280044717 50.00816052428692,14.550762587339445 50.00813850096854)"
2,D1_1,-,2,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.550762587339445 50.00813850096854,14.550897894511484 50.00811647749197)"
3,D1_1,-,3,0,42412,3752,7020,302,0.3599910583377523,11.0,11.0,3,3,"LINESTRING(14.550897894511484 50.00811647749197,14.550954154994432 50.0081073201169,14.551032982280907 50.008093906725705)"
4,D1_1,-,4,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.551032982280907 50.008093906725705,14.551167913853858 50.008070946387555)"
5,D1_1,-,5,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.551167913853858 50.008070946387555,14.551302845299201 50.008047985892034)"
6,D1_1,-,6,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.551302845299201 50.008047985892034,14.551437776616945 50.0080250252392)"
7,D1_1,-,7,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.551437776616945 50.0080250252392,14.551572707807082 50.008002064429014)"
8,D1_1,-,8,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.551572707807082 50.008002064429014,14.551707638869612 50.007979103461494)"
9,D1_1,-,9,0,42412,3752,7020,302,0.03996664580721648,11.0,11.0,3,3,"LINESTRING(14.551707638869612 50.007979103461494,14.551766965023234 50.00796900798378,14.55184254489364 50.00795608168844)"
10,D1_1,-,10,0,42412,3752,7020,302,-0.05792481085666168,11.0,11.0,3,3,"LINESTRING(14.55184254489364 50.00795608168844,14.551943128946387 50.00793887888353,14.551977467160429 50.0079331000991)"
11,D1_1,-,11,1,42412,3752,7020,302,-0.28944749822767335,11.0,11.0,3,3,"LINESTRING(14.551977467160429 50.0079331000991,14.551985300615492 50.00793178180388,14.552040500897089 50.0079223227274,14.552081837240447 50.00791571506982,14.552112666187492 50.00791081689054)"
12,D1_1,-,12,0,42412,3752,7020,302,0.8777532681477224,11.0,11.0,3,3,"LINESTRING(14.552112666187492 50.00791081689054,14.552152867677007 50.00790442956475,14.55222293946205 50.007891880499265,14.55224762237321 50.00788795572165)"
13,D1_1,-,13,0,42412,3752,7020,302,0.6290357979408027,11.0,11.0,3,3,"LINESTRING(14.55224762237321 50.00788795572165,14.55232194180023 50.007876138310785,14.552382729357953 50.00786545560453)"
14,D1_1,-,14,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.552382729357953 50.00786545560453,14.55251736839125 50.00784179422994)"
15,D1_1,-,15,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.55251736839125 50.00784179422994,14.552652007293297 50.00781813269867)"
16,D1_1,-,16,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.552652007293297 50.00781813269867,14.55278664606409 50.00779447101072)"
17,D1_1,-,17,0,42412,3752,7020,302,0.0,11.0,11.0,3,3,"LINESTRING(14.55278664606409 50.00779447101072,14.552921284703627 50.00777080916611)"
