,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
0,D1_2,+,0,1,6270,904,1862,17,-0.07315435515664603,7.5,7.5,2,2,"LINESTRING(17.461210835263916 49.38830518430708,17.461236952359148 49.38827295497412,17.46126346304121 49.38824021746893,17.46127539671739 49.38822575883238)"
1,D1_2,+,1,0,6270,904,1862,17,0.34062344537752437,7.5,7.5,2,2,"LINESTRING(17.46127539671739 49.38822575883238,17.461316581668697 49.38817585978155,17.46134000579089 49.38814635250624)"
2,D1_2,+,2,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46134000579089 49.38814635250624,17.46140337990125 49.38806652019019)"
3,D1_2,+,3,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46140337990125 49.38806652019019,17.46146675380955 49.38798668784162)"
4,D1_2,+,4,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46146675380955 49.38798668784162,17.461530127515804 49.38790685546047)"
5,D1_2,+,5,0,6270,904,1862,17,0.06224936861123319,7.5,7.5,2,2,"LINESTRING(17.461530127515804 49.38790685546047,17.461579957538234 49.3878440839681,17.461593367978878 49.38782697832088)"
6,D1_2,+,6,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.461593367978878 49.38782697832088,17.461656118748383 49.38774693659105)"
7,D1_2,+,7,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.461656118748383 49.38774693659105,17.461718869317373 49.38766689482932)"
8,D1_2,+,8,0,6270,904,1862,17,0.7148406702105634,7.5,7.5,2,2,"LINESTRING(17.461718869317373 49.38766689482932,17.461737144980066 49.387643583174054,17.461780083118096 49.38758635078403)"
9,D1_2,+,9,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.461780083118096 49.38758635078403,17.46184066531354 49.387505600322484)"
10,D1_2,+,10,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46184066531354 49.387505600322484,17.461901247313957 49.38742484983126)"
11,D1_2,+,11,0,6270,904,1862,17,0.5824770280788146,7.5,7.5,2,2,"LINESTRING(17.461901247313957 49.38742484983126,17.46192564083351 49.38739233532814,17.46196056640681 49.3873437042682)"
12,D1_2,+,12,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46196056640681 49.3873437042682,17.462019034150927 49.38726229239058)"
13,D1_2,+,13,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462019034150927 49.38726229239058,17.46207750170554 49.38718088048537)"
14,D1_2,+,14,0,6270,904,1862,17,-0.9210832474166182,7.5,7.5,2,2,"LINESTRING(17.46207750170554 49.38718088048537,17.462094990385673 49.38715652868734,17.46213796294354 49.38710009708181)"
15,D1_2,+,15,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46213796294354 49.38710009708181,17.462199274919566 49.387019581888424)"
16,D1_2,+,16,0,6270,904,1862,17,1.1375278909062891,7.5,7.5,2,2,"LINESTRING(17.462199274919566 49.387019581888424,17.46222544236967 49.38698521857416,17.462258117454322 49.38693829987946)"
17,D1_2,+,17,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462258117454322 49.38693829987946,17.462315121276156 49.38685644691828)"
18,D1_2,+,18,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462315121276156 49.38685644691828,17.462372124912417 49.38677459393088)"
19,D1_2,+,19,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462372124912417 49.38677459393088,17.462429128363105 49.38669274091728)"
20,D1_2,+,20,0,6270,904,1862,17,-0.5734917943631217,7.5,7.5,2,2,"LINESTRING(17.462429128363105 49.38669274091728,17.462443990670206 49.38667139962386,17.462487382747316 49.386611265880475)"
21,D1_2,+,21,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462487382747316 49.386611265880475,17.462546078186985 49.38652992413027)"
22,D1_2,+,22,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462546078186985 49.38652992413027,17.46260477343656 49.38644858235222)"
23,D1_2,+,23,0,6270,904,1862,17,0.35799849619803087,7.5,7.5,2,2,"LINESTRING(17.46260477343656 49.38644858235222,17.46264518648137 49.3863925764764,17.462662686312378 49.386367006242416)"
24,D1_2,+,24,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462662686312378 49.386367006242416,17.462718869960494 49.38628491216998)"
25,D1_2,+,25,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462718869960494 49.38628491216998,17.462775053425272 49.38620281807208)"
26,D1_2,+,26,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.462775053425272 49.38620281807208,17.462831236706727 49.38612072394873)"
27,D1_2,+,27,0,6270,904,1862,17,0.31734360630744246,7.5,7.5,2,2,"LINESTRING(17.462831236706727 49.38612072394873,17.46284053822726 49.38610713268557,17.4628867222682 49.38603842816645)"
28,D1_2,+,28,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.4628867222682 49.38603842816645,17.4629420692542 49.38595609235447)"
29,D1_2,+,29,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.4629420692542 49.38595609235447,17.46299741605918 49.38587375651781)"
30,D1_2,+,30,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46299741605918 49.38587375651781,17.46305276268314 49.38579142065647)"
31,D1_2,+,31,0,6270,904,1862,17,1.056184284652123,7.5,7.5,2,2,"LINESTRING(17.46305276268314 49.38579142065647,17.463054176607944 49.385789317241276,17.46310577468188 49.38570843312509)"
32,D1_2,+,32,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46310577468188 49.38570843312509,17.46315872530527 49.385625428487266)"
33,D1_2,+,33,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46315872530527 49.385625428487266,17.46321167575438 49.385542423826884)"
34,D1_2,+,34,0,6270,904,1862,17,0.04345074028631604,7.5,7.5,2,2,"LINESTRING(17.46321167575438 49.385542423826884,17.46324068139995 49.38549695470549,17.463264529572776 49.38545939298237)"
35,D1_2,+,35,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463264529572776 49.38545939298237,17.46331726637374 49.3853763304243)"
36,D1_2,+,36,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46331726637374 49.3853763304243,17.46337000300104 49.385293267843856)"
37,D1_2,+,37,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46337000300104 49.385293267843856,17.463422739454675 49.38521020524106)"
38,D1_2,+,38,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463422739454675 49.38521020524106,17.463475475734644 49.38512714261587)"
39,D1_2,+,39,0,6270,904,1862,17,0.5976638516795785,7.5,7.5,2,2,"LINESTRING(17.463475475734644 49.38512714261587,17.46350245203467 49.38508465330241,17.46352687885896 49.38504373012372)"
40,D1_2,+,40,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46352687885896 49.38504373012372,17.463576885886436 49.384959951245655)"
41,D1_2,+,41,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463576885886436 49.384959951245655,17.463626892748177 49.384876172347525)"
42,D1_2,+,42,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463626892748177 49.384876172347525,17.46367689944419 49.3847923934293)"
43,D1_2,+,43,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46367689944419 49.3847923934293,17.46372690597448 49.384708614491004)"
44,D1_2,+,44,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46372690597448 49.384708614491004,17.463776912339046 49.38462483553262)"
45,D1_2,+,45,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463776912339046 49.38462483553262,17.463826918537883 49.384541056554156)"
46,D1_2,+,46,0,6270,904,1862,17,0.05099456957572575,7.5,7.5,2,2,"LINESTRING(17.463826918537883 49.384541056554156,17.46385669350062 49.384491172277976,17.463876810305276 49.38445724858207)"
47,D1_2,+,47,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463876810305276 49.38445724858207,17.463926533737887 49.38437339794852)"
48,D1_2,+,48,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463926533737887 49.38437339794852,17.463976257005605 49.384289547295126)"
49,D1_2,+,49,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.463976257005605 49.384289547295126,17.464025980108445 49.38420569662188)"
50,D1_2,+,50,0,6270,904,1862,17,1.0032256705039206,7.5,7.5,2,2,"LINESTRING(17.464025980108445 49.38420569662188,17.46404359259104 49.38417599569833,17.464073442631758 49.38412129752436)"
51,D1_2,+,51,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464073442631758 49.38412129752436,17.464119665170685 49.38403659761169)"
52,D1_2,+,52,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464119665170685 49.38403659761169,17.46416588755527 49.38395189768187)"
53,D1_2,+,53,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46416588755527 49.38395189768187,17.46421210978551 49.38386719773492)"
54,D1_2,+,54,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46421210978551 49.38386719773492,17.46425833186142 49.38378249777085)"
55,D1_2,+,55,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46425833186142 49.38378249777085,17.464304553782988 49.38369779778966)"
56,D1_2,+,56,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464304553782988 49.38369779778966,17.46435077555022 49.383613097791326)"
57,D1_2,+,57,0,6270,904,1862,17,0.4843629357489743,7.5,7.5,2,2,"LINESTRING(17.46435077555022 49.383613097791326,17.46437807498264 49.38356307226155,17.46439589642422 49.38352815008684)"
58,D1_2,+,58,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46439589642422 49.38352815008684,17.46443942909298 49.38344284502095)"
59,D1_2,+,59,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46443942909298 49.38344284502095,17.464482961615744 49.38335753993988)"
60,D1_2,+,60,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464482961615744 49.38335753993988,17.464526493992505 49.38327223484363)"
61,D1_2,+,61,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464526493992505 49.38327223484363,17.46457002622327 49.38318692973219)"
62,D1_2,+,62,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46457002622327 49.38318692973219,17.464613558308045 49.38310162460558)"
63,D1_2,+,63,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464613558308045 49.38310162460558,17.464657090246817 49.38301631946378)"
64,D1_2,+,64,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464657090246817 49.38301631946378,17.4647006220396 49.38293101430679)"
65,D1_2,+,65,0,6270,904,1862,17,0.5216788010869052,7.5,7.5,2,2,"LINESTRING(17.4647006220396 49.38293101430679,17.464704125356487 49.38292414917333,17.464742962050792 49.38284545421948)"
66,D1_2,+,66,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464742962050792 49.38284545421948,17.464785197627023 49.38275987180746)"
67,D1_2,+,67,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464785197627023 49.38275987180746,17.46482743306135 49.38267428938116)"
68,D1_2,+,68,0,6270,904,1862,17,0.08835210168649803,7.5,7.5,2,2,"LINESTRING(17.46482743306135 49.38267428938116,17.464866788762798 49.382594541938126,17.46486946547882 49.382588665913936)"
69,D1_2,+,69,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46486946547882 49.382588665913936,17.464908725048762 49.38250248171886)"
70,D1_2,+,70,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.464908725048762 49.38250248171886,17.46494798448634 49.38241629751143)"
71,D1_2,+,71,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46494798448634 49.38241629751143,17.46498724379156 49.38233011329164)"
72,D1_2,+,72,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46498724379156 49.38233011329164,17.465026502964413 49.38224392905951)"
73,D1_2,+,73,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465026502964413 49.38224392905951,17.465065762004908 49.382157744815004)"
74,D1_2,+,74,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465065762004908 49.382157744815004,17.465105020913043 49.38207156055816)"
75,D1_2,+,75,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465105020913043 49.38207156055816,17.465144279688822 49.38198537628896)"
76,D1_2,+,76,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465144279688822 49.38198537628896,17.46518353833224 49.38189919200739)"
77,D1_2,+,77,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46518353833224 49.38189919200739,17.465222796843303 49.381813007713475)"
78,D1_2,+,78,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465222796843303 49.381813007713475,17.46526205522201 49.38172682340721)"
79,D1_2,+,79,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46526205522201 49.38172682340721,17.465301313468363 49.38164063908859)"
80,D1_2,+,80,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465301313468363 49.38164063908859,17.46534057158236 49.381554454757605)"
81,D1_2,+,81,0,6270,904,1862,17,0.010560619582051567,7.5,7.5,2,2,"LINESTRING(17.46534057158236 49.381554454757605,17.465379475643335 49.38146904738935,17.465379805158943 49.3814682658525)"
82,D1_2,+,82,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465379805158943 49.3814682658525,17.46541635593196 49.38138157549249)"
83,D1_2,+,83,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46541635593196 49.38138157549249,17.465452906581483 49.38129488512177)"
84,D1_2,+,84,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465452906581483 49.38129488512177,17.46548945710751 49.38120819474032)"
85,D1_2,+,85,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46548945710751 49.38120819474032,17.465526007510043 49.38112150434812)"
86,D1_2,+,86,0,6270,904,1862,17,0.5989139934505959,7.5,7.5,2,2,"LINESTRING(17.465526007510043 49.38112150434812,17.465540853526754 49.38108629241909,17.465561166546323 49.38103457249312)"
87,D1_2,+,87,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465561166546323 49.38103457249312,17.465595373837562 49.3809474754721)"
88,D1_2,+,88,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465595373837562 49.3809474754721,17.4656295810131 49.38086037844166)"
89,D1_2,+,89,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.4656295810131 49.38086037844166,17.46566378807294 49.380773281401794)"
90,D1_2,+,90,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46566378807294 49.380773281401794,17.465697995017077 49.380686184352484)"
91,D1_2,+,91,0,6270,904,1862,17,0.1107619915992173,7.5,7.5,2,2,"LINESTRING(17.465697995017077 49.380686184352484,17.465725020732286 49.380617371792276,17.465731943655104 49.38059904489549)"
92,D1_2,+,92,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465731943655104 49.38059904489549,17.465764920496497 49.38051174586612)"
93,D1_2,+,93,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465764920496497 49.38051174586612,17.465797897226324 49.380424446827995)"
94,D1_2,+,94,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465797897226324 49.380424446827995,17.465830873844588 49.380337147781084)"
95,D1_2,+,95,0,6270,904,1862,17,0.1076203349317428,7.5,7.5,2,2,"LINESTRING(17.465830873844588 49.380337147781084,17.465845736739798 49.38029780111871,17.46586359909338 49.38024980856506)"
96,D1_2,+,96,0,6270,904,1862,17,0.24846479302206714,7.5,7.5,2,2,"LINESTRING(17.46586359909338 49.38024980856506,17.465864074986108 49.38024852993573,17.46588229603053 49.380200236111975,17.465895536285903 49.380162348291336)"
97,D1_2,+,97,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465895536285903 49.380162348291336,17.465926170535496 49.38007468624826)"
98,D1_2,+,98,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465926170535496 49.38007468624826,17.465956804681483 49.379987024197526)"
99,D1_2,+,99,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465956804681483 49.379987024197526,17.465987438723854 49.379899362139184)"
100,D1_2,+,100,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.465987438723854 49.379899362139184,17.466018072662614 49.37981170007322)"
