,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
0,D1_3,+,0,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406878320645287 49.936283081404405,18.406765891519957 49.936230054927215)"
1,D1_3,+,1,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406765891519957 49.936230054927215,18.406653462639213 49.93617702833536)"
2,D1_3,+,2,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406653462639213 49.93617702833536,18.406541034003055 49.93612400162882)"
3,D1_3,+,3,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406541034003055 49.93612400162882,18.406428605611485 49.93607097480763)"
4,D1_3,+,4,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406428605611485 49.93607097480763,18.406316177464497 49.936017947871726)"
5,D1_3,+,5,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406316177464497 49.936017947871726,18.406203749562096 49.93596492082118)"
6,D1_3,+,6,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406203749562096 49.93596492082118,18.406091321904277 49.93591189365594)"
7,D1_3,+,7,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.406091321904277 49.93591189365594,18.405978894491046 49.935858866376044)"
8,D1_3,+,8,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.405978894491046 49.935858866376044,18.405866467322397 49.935805838981466)"
9,D1_3,+,9,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.405866467322397 49.935805838981466,18.405754040398328 49.935752811472234)"
10,D1_3,+,10,0,4575,580,2687,67,0.10536957314402165,7.5,7.5,2,2,"LINESTRING(18.405754040398328 49.935752811472234,18.405705957241807 49.935730132403634,18.405641462960986 49.93569991745522)"
11,D1_3,+,11,0,4575,580,2687,67,-0.34659052414372127,7.5,7.5,2,2,"LINESTRING(18.405641462960986 49.93569991745522,18.405567640688933 49.935665332340626,18.40552927385759 49.93564668599983)"
