,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
0,D1_4,-,0,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.431586657369447 49.47229878755317,17.43168630902091 49.472360976648666)"
1,D1_4,-,1,0,2949,481,868,12,0.20707787639406308,7.4,7.4,2,2,"LINESTRING(17.43168630902091 49.472360976648666,17.431755847520247 49.472404373036795,17.431786303671206 49.47242292960973)"
2,D1_4,-,2,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.431786303671206 49.47242292960973,17.431887090051966 49.47248433740068)"
3,D1_4,-,3,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.431887090051966 49.47248433740068,17.431987876684502 49.472545745099275)"
4,D1_4,-,4,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.431987876684502 49.472545745099275,17.43208866356882 49.47260715270551)"
5,D1_4,-,5,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43208866356882 49.47260715270551,17.432189450704918 49.47266856021937)"
6,D1_4,-,6,0,2949,481,868,12,0.6957889801062388,7.4,7.4,2,2,"LINESTRING(17.432189450704918 49.47266856021937,17.432238569780576 49.47269848736542,17.43229136782821 49.47272916128991)"
7,D1_4,-,7,0,2949,481,868,12,-1.413922162157462,7.4,7.4,2,2,"LINESTRING(17.43229136782821 49.47272916128991,17.432292808285094 49.47272999814697,17.43234411457051 49.472760998116264,17.432392060184068 49.4727906323186)"
8,D1_4,-,8,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.432392060184068 49.4727906323186,17.432492170629512 49.472852508353085)"
9,D1_4,-,9,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.432492170629512 49.472852508353085,17.43259228132704 49.47291438429638)"
10,D1_4,-,10,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43259228132704 49.47291438429638,17.432692392276657 49.472976260148464)"
11,D1_4,-,11,0,2949,481,868,12,0.7279014296953047,7.4,7.4,2,2,"LINESTRING(17.432692392276657 49.472976260148464,17.43275634216039 49.473015785701044,17.432793687200245 49.47303729342432)"
12,D1_4,-,12,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.432793687200245 49.47303729342432,17.43289707574329 49.47309683670123)"
13,D1_4,-,13,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43289707574329 49.47309683670123,17.433000464536445 49.47315637988123)"
14,D1_4,-,14,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.433000464536445 49.47315637988123,17.433103853579706 49.47321592296434)"
15,D1_4,-,15,0,2949,481,868,12,0.041804900571061704,7.4,7.4,2,2,"LINESTRING(17.433103853579706 49.47321592296434,17.433190238098934 49.47326567273804,17.433207309373934 49.47327541669602)"
16,D1_4,-,16,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.433207309373934 49.47327541669602,17.433311103243874 49.4733346601163)"
17,D1_4,-,17,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.433311103243874 49.4733346601163,17.433414897363587 49.47339390343896)"
18,D1_4,-,18,0,2949,481,868,12,0.2635421611341208,7.4,7.4,2,2,"LINESTRING(17.433414897363587 49.47339390343896,17.433483958708567 49.47343332195074,17.43351910661058 49.47345283368752)"
19,D1_4,-,19,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43351910661058 49.47345283368752,17.43362414102846 49.47351114153001)"
20,D1_4,-,20,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43362414102846 49.47351114153001,17.433729175694946 49.47356944927269)"
21,D1_4,-,21,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.433729175694946 49.47356944927269,17.433834210610037 49.47362775691552)"
22,D1_4,-,22,0,2949,481,868,12,0.8853546748917155,7.4,7.4,2,2,"LINESTRING(17.433834210610037 49.47362775691552,17.433842657438827 49.47363244596193,17.433940614701594 49.473684999292324)"
23,D1_4,-,23,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.433940614701594 49.473684999292324,17.43404713875555 49.47374214841584)"
24,D1_4,-,24,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43404713875555 49.47374214841584,17.43415366305642 49.47379929743685)"
25,D1_4,-,25,0,2949,481,868,12,0.9074716131285987,7.4,7.4,2,2,"LINESTRING(17.43415366305642 49.47379929743685,17.434161187239134 49.47380333406254,17.43426156217397 49.473855339260474)"
26,D1_4,-,26,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43426156217397 49.473855339260474,17.43436956600608 49.47391129683794)"
27,D1_4,-,27,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43436956600608 49.47391129683794,17.43447757008311 49.4739672543102)"
28,D1_4,-,28,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43447757008311 49.4739672543102,17.434585574405066 49.474023211677256)"
29,D1_4,-,29,0,2949,481,868,12,0.10457288170472362,7.4,7.4,2,2,"LINESTRING(17.434585574405066 49.474023211677256,17.43463796080893 49.474050353148534,17.43469373534936 49.47407904030442)"
30,D1_4,-,30,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43469373534936 49.47407904030442,17.43480204382933 49.47413474766564)"
31,D1_4,-,31,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43480204382933 49.47413474766564,17.434910352553764 49.47419045492107)"
32,D1_4,-,32,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.434910352553764 49.47419045492107,17.435018661522676 49.47424616207074)"
33,D1_4,-,33,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.435018661522676 49.47424616207074,17.435126970736064 49.47430186911463)"
34,D1_4,-,34,0,2949,481,868,12,0.47358215475254656,7.4,7.4,2,2,"LINESTRING(17.435126970736064 49.47430186911463,17.435175832550296 49.47432700030098,17.435235980028562 49.47435698923693)"
35,D1_4,-,35,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.435235980028562 49.47435698923693,17.435345564779823 49.47441162692942)"
